#n= 5, connectivity= 4, repetitions= 100
#graph, before/after, intensity, 'objective', success rate, switches, load, load, max stretch, mean stretch, max hops, mean hops
regular, before, 5, 119998.00, 1.00, 4.00, 2.00, 2.00, 2.00, 1.50, 4.00, 4.00
regular, after, 5, 119998.00, 1.00, 4.00, 2.00, 2.00, 3.00, 2.00, 4.00, 4.00
regular, before, 4, 119998.00, 1.00, 4.00, 2.00, 2.00, 3.00, 2.50, 4.00, 4.00
regular, after, 4, 119998.00, 1.00, 4.00, 2.00, 2.00, 3.00, 3.00, 4.00, 4.00
regular, before, 3, 119998.00, 1.00, 4.00, 2.00, 2.00, 3.00, 2.50, 4.00, 4.00
regular, after, 3, 119998.00, 1.00, 4.00, 2.00, 2.00, 3.00, 3.00, 4.00, 4.00
regular, before, 2, 119998.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.50, 2.00, 2.00
regular, after, 2, 119998.00, 1.00, 0.00, 0.00, 0.00, 1.00, 1.00, 2.00, 2.00
regular, before, 1, 119998.00, 1.00, 0.00, 0.00, 0.00, 1.00, 1.00, 2.00, 2.00
regular, after, 1, 119998.00, 1.00, 0.00, 0.00, 0.00, 1.00, 1.00, 2.00, 2.00
regular, before, 5, 119998.00, 1.00, 4.00, 2.00, 2.00, 3.00, 2.00, 4.00, 4.00
regular, after, 5, 119998.00, 1.00, 4.00, 2.00, 2.00, 3.00, 2.00, 4.00, 4.00
regular, before, 4, 119998.00, 1.00, 4.00, 2.00, 2.00, 3.00, 3.00, 4.00, 4.00
regular, after, 4, 119998.00, 1.00, 4.00, 2.00, 2.00, 3.00, 3.00, 4.00, 4.00
regular, before, 3, 119998.00, 1.00, 4.00, 2.00, 2.00, 3.00, 3.00, 4.00, 4.00
regular, after, 3, 119998.00, 1.00, 4.00, 2.00, 2.00, 3.00, 3.00, 4.00, 4.00
regular, before, 2, 119998.00, 1.00, 0.00, 0.00, 0.00, 1.00, 1.00, 2.00, 2.00
regular, after, 2, 119998.00, 1.00, 0.00, 0.00, 0.00, 1.00, 1.00, 2.00, 2.00
regular, before, 1, 119998.00, 1.00, 0.00, 0.00, 0.00, 1.00, 1.00, 2.00, 2.00
regular, after, 1, 119998.00, 1.00, 0.00, 0.00, 0.00, 1.00, 1.00, 2.00, 2.00
regular, before, 5, 119998.00, 1.00, 4.00, 2.00, 2.00, 2.00, 1.50, 4.00, 3.50
regular, after, 5, 119998.00, 1.00, 4.00, 2.00, 2.00, 3.00, 2.00, 4.00, 4.00
regular, before, 4, 119998.00, 1.00, 4.00, 2.00, 2.00, 2.00, 1.50, 4.00, 3.50
regular, after, 4, 119998.00, 1.00, 4.00, 2.00, 2.00, 3.00, 3.00, 4.00, 4.00
regular, before, 3, 119998.00, 1.00, 4.00, 2.00, 2.00, 2.00, 1.50, 4.00, 3.50
regular, after, 3, 119998.00, 1.00, 4.00, 2.00, 2.00, 3.00, 3.00, 4.00, 4.00
regular, before, 2, 119998.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 2.00, 1.50
regular, after, 2, 119998.00, 1.00, 0.00, 0.00, 0.00, 1.00, 1.00, 2.00, 2.00
