#n= 17, connectivity= 4, repetitions= 100
#n, time to compute arborescence, time for swapping in seconds
17, 0.012858, 2.893448
17, 0.012930, 2.898214
17, 0.013185, 2.920540
17, 0.012934, 2.921112
17, 0.012813, 2.923901
17, 0.013121, 2.928612
17, 0.013084, 2.937392
17, 0.013076, 2.932839
17, 0.013043, 2.915006
17, 0.012871, 2.923440
17, 0.012704, 2.917854
17, 0.012804, 2.905891
17, 0.012859, 2.910650
17, 0.012910, 2.930807
17, 0.013161, 2.916504
17, 0.013288, 2.911022
17, 0.012958, 2.893918
17, 0.012977, 2.900023
17, 0.012936, 2.944109
17, 0.013012, 2.914532
17, 0.013044, 2.919301
17, 0.012847, 2.942543
17, 0.013436, 2.954091
17, 0.013200, 2.927607
17, 0.013477, 2.975552
17, 0.013092, 2.923285
17, 0.013103, 2.979316
17, 0.013018, 2.927531
17, 0.012958, 2.924004
17, 0.012951, 2.969366
17, 0.013066, 2.931512
17, 0.013237, 2.940836
17, 0.013056, 2.945976
17, 0.012909, 2.992493
17, 0.013060, 2.944292
17, 0.013071, 2.934351
17, 0.012956, 2.933106
17, 0.016756, 2.925997
17, 0.013045, 2.913165
17, 0.013011, 2.928090
17, 0.012937, 2.923378
17, 0.012974, 2.922201
17, 0.012861, 2.947813
17, 0.012932, 2.917182
17, 0.013033, 2.916843
17, 0.012956, 2.939345
17, 0.012991, 2.925628
17, 0.012975, 2.911616
17, 0.012892, 2.934454
17, 0.012969, 2.917174
17, 0.012867, 2.916538
17, 0.013523, 2.923539
17, 0.012898, 2.940998
17, 0.012875, 2.921076
17, 0.012988, 2.923959
17, 0.012994, 2.907699
17, 0.013025, 2.899914
17, 0.012999, 2.937885
17, 0.013061, 2.937057
17, 0.013716, 2.909372
17, 0.013011, 2.934167
17, 0.012832, 2.893630
17, 0.012976, 2.902875
17, 0.012980, 2.927271
17, 0.013137, 2.890778
17, 0.013060, 2.916994
17, 0.013026, 2.924654
17, 0.012965, 2.941825
17, 0.012973, 2.912311
17, 0.012929, 2.916601
17, 0.012911, 2.924968
17, 0.012957, 2.895126
17, 0.012984, 2.938375
17, 0.012973, 2.909365
17, 0.013093, 2.907813
17, 0.012939, 2.929256
17, 0.012996, 2.908189
17, 0.013013, 2.912821
17, 0.013157, 2.923016
17, 0.012881, 2.910637
17, 0.013037, 2.915352
17, 0.013165, 2.903970
17, 0.013063, 2.936563
17, 0.012994, 2.923186
17, 0.013048, 2.922763
17, 0.012892, 2.905810
17, 0.014312, 2.901831
17, 0.013025, 2.913115
17, 0.013084, 2.900491
17, 0.013043, 2.909548
17, 0.012922, 2.899532
17, 0.013422, 2.918382
17, 0.013377, 2.914797
17, 0.013723, 2.900627
17, 0.013420, 2.912258
17, 0.013232, 2.901875
17, 0.013291, 2.907847
17, 0.012926, 2.905539
17, 0.014026, 2.947825
17, 0.013184, 2.929716
