#n= 5, connectivity= 4, repetitions= 100
#n, time to compute arborescence, time for swapping in seconds
5, 0.001674, 0.032629
5, 0.001682, 0.032220
5, 0.001681, 0.032406
5, 0.001704, 0.032475
5, 0.001665, 0.032362
5, 0.001699, 0.032274
5, 0.001707, 0.032485
5, 0.001696, 0.032644
5, 0.001691, 0.032804
5, 0.001689, 0.032427
5, 0.001697, 0.032454
5, 0.001685, 0.032471
5, 0.001693, 0.032499
5, 0.001690, 0.032692
5, 0.001712, 0.032659
5, 0.001677, 0.032534
5, 0.001675, 0.032491
5, 0.001697, 0.032319
5, 0.001686, 0.032669
5, 0.001709, 0.032451
5, 0.001670, 0.032667
5, 0.001681, 0.032231
5, 0.001664, 0.032548
5, 0.001718, 0.032589
5, 0.001821, 0.032620
5, 0.001683, 0.032335
5, 0.001700, 0.032390
5, 0.001702, 0.032648
5, 0.001723, 0.032870
5, 0.001722, 0.032627
5, 0.001693, 0.032701
5, 0.001703, 0.032765
5, 0.001704, 0.032590
5, 0.001693, 0.032532
5, 0.001665, 0.032428
5, 0.001696, 0.032276
5, 0.001671, 0.032388
5, 0.001676, 0.032262
5, 0.001662, 0.032463
5, 0.001673, 0.032295
5, 0.001689, 0.032489
5, 0.001690, 0.032074
5, 0.001685, 0.032294
5, 0.001666, 0.032526
5, 0.001682, 0.032384
5, 0.001672, 0.032365
5, 0.001695, 0.032174
5, 0.001675, 0.032071
5, 0.001682, 0.032305
5, 0.001668, 0.032270
5, 0.001651, 0.032161
5, 0.001698, 0.032337
5, 0.001689, 0.032472
5, 0.001675, 0.032460
5, 0.001696, 0.032382
5, 0.001680, 0.032444
5, 0.001681, 0.032609
5, 0.001689, 0.032378
5, 0.001676, 0.032472
5, 0.001702, 0.032527
5, 0.001685, 0.032317
5, 0.001678, 0.032344
5, 0.001696, 0.032539
5, 0.001693, 0.032456
5, 0.001700, 0.032488
5, 0.001693, 0.032525
5, 0.001702, 0.032707
5, 0.001688, 0.032721
5, 0.001678, 0.032478
5, 0.001704, 0.032549
5, 0.001669, 0.032407
5, 0.001691, 0.032831
5, 0.001686, 0.032452
5, 0.001690, 0.032535
5, 0.001686, 0.032215
5, 0.001666, 0.032339
5, 0.001679, 0.032422
5, 0.001789, 0.032052
5, 0.001651, 0.032489
5, 0.001683, 0.032558
5, 0.001680, 0.032495
5, 0.001658, 0.032021
5, 0.001651, 0.032203
5, 0.001672, 0.032252
5, 0.001651, 0.032157
5, 0.001679, 0.032316
5, 0.001661, 0.032378
5, 0.001667, 0.032185
5, 0.001688, 0.032475
5, 0.001680, 0.032407
5, 0.001689, 0.032354
5, 0.001695, 0.032539
5, 0.001674, 0.032229
5, 0.001657, 0.032073
5, 0.001678, 0.032388
5, 0.001654, 0.032069
5, 0.001648, 0.032186
5, 0.001693, 0.032217
5, 0.001657, 0.032104
5, 0.001657, 0.032273
